location,state,checking_amt,duration,credit_history,purpose,credit_amount,savings,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class,application_date,works_outside_US
"Franklin, OH",Ohio,"(0.01, 1000.0]",,'delayed previously',radio/tv,"(5000.0, 7500.0]","[0.0, 0.01)",1<=X<4,1.0,'male single',none,1.0,'real estate',"(20.0, 30.0]",none,own,1.0,'unskilled resident',1.0,none,yes,bad,01/1995,yes
"Multnomah, OR",Oregon,"(-0.01, 0.01]","(12.0, 24.0]",'critical/other existing credit',,"(2500.0, 5000.0]","[0.0, 0.01)",1<=X<4,,'male single',none,2.0,'real estate',"(30.0, 40.0]",none,own,2.0,'unskilled resident',1.0,none,no,good,01/1995,no
"Dauphin, PA",Pennsylvania,"(-1000.0, -0.01]","(0.0, 12.0]",'all paid',radio/tv,"(1000.0, 2500.0]","[0.01, 100.0)",1<=X<4,4.0,,none,1.0,'no known property',"(20.0, 30.0]",none,'for free',1.0,,1.0,none,yes,bad,01/1995,yes
"Delaware, PA",Pennsylvania,"(-0.01, 0.01]","(12.0, 24.0]",'existing paid','used car',"(2500.0, 5000.0]","[0.0, 0.01)",<1,1.0,'female div/dep/mar',,4.0,car,"(20.0, 30.0]",none,own,,skilled,1.0,yes,no,good,01/1995,no
"Lancaster, PA",Pennsylvania,"(-0.01, 0.01]","(0.0, 12.0]",'critical/other existing credit',radio/tv,"(1000.0, 2500.0]","[0.0, 0.01)",unemployed,,'female div/dep/mar',none,4.0,'real estate',"(50.0, 60.0]",,own,3.0,'unskilled resident',1.0,none,no,good,01/1995,no
"Philadelphia, PA",Pennsylvania,"(-10000.0, -1000.0]","(0.0, 12.0]",,furniture/equipment,"(1000.0, 2500.0]","[0.01, 100.0)",1<=X<4,2.0,'male single',none,2.0,'real estate',,none,own,1.0,skilled,1.0,none,yes,good,01/1995,yes
"Providence, RI",Rhodes Island,"(-10000.0, -1000.0]","(12.0, 24.0]",'existing paid',radio/tv,"(1000.0, 2500.0]","[0.01, 100.0)",,4.0,,none,,car,"(50.0, 60.0]",none,own,1.0,skilled,1.0,none,yes,bad,01/1995,yes
"Anderson, SC",South Carolina,"(-10000.0, -1000.0]","(12.0, 24.0]",'critical/other existing credit','new car',"(5000.0, 7500.0]","[0.01, 100.0)",>=7,2.0,'male single',none,4.0,'no known property',"(30.0, 40.0]",none,'for free',3.0,'high qualif/self emp/mgmt',,yes,no,good,01/1995,no
"Charleston, SC",South Carolina,"(-0.01, 0.01]","(0.0, 12.0]",'critical/other existing credit',education,,"[0.0, 0.01)",,2.0,'female div/dep/mar',none,4.0,'no known property',"(50.0, 60.0]",bank,'for free',3.0,'unskilled resident',1.0,none,yes,good,01/1995,yes
"Greenville, SC",South Carolina,"(-0.01, 0.01]","(0.0, 12.0]",'critical/other existing credit','new car',"(1000.0, 2500.0]","[0.0, 0.01)",>=7,3.0,'male single',none,,'real estate',"(30.0, 40.0]",none,own,2.0,'unskilled resident',2.0,none,no,bad,01/1995,no
"Horry, SC",South Carolina,"(0.01, 1000.0]","(12.0, 24.0]",'existing paid',radio/tv,"(500.0, 1000.0]","[0.01, 100.0)",,4.0,,none,3.0,,"(30.0, 40.0]",none,own,1.0,skilled,2.0,none,no,good,01/1995,no
"Jasper, SC",South Carolina,"(-0.01, 0.01]","(24.0, 36.0]",'critical/other existing credit',business,"(5000.0, 7500.0]","[0.0, 0.01)",>=7,4.0,,none,4.0,'real estate',"(30.0, 40.0]",none,own,2.0,skilled,,none,no,good,01/1995,no
"Lexington, SC",South Carolina,"(-0.01, 0.01]","(12.0, 24.0]",'existing paid',radio/tv,"(1000.0, 2500.0]","[0.0, 0.01)",<1,4.0,'female div/dep/mar',none,3.0,car,"(30.0, 40.0]",stores,own,1.0,skilled,1.0,,yes,good,01/1995,yes
"Spartanburg, SC",South Carolina,"(-1000.0, -0.01]","(12.0, 24.0]",'existing paid','new car',"(7500.0, 10000.0]","[0.01, 100.0)",>=7,1.0,'male div/sep',none,4.0,'life insurance',"(40.0, 50.0]",none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,no,bad,02/1995,no
"Hughes, SD",South Dakota,"(-0.01, 0.01]","(12.0, 24.0]",'existing paid',radio/tv,"(500.0, 1000.0]","[0.0, 0.01)",>=7,,'male single',none,2.0,car,,none,own,2.0,skilled,1.0,none,yes,good,02/1995,yes
"Hughes, SD",South Dakota,"(-0.01, 0.01]","(12.0, 24.0]",'existing paid','new car',"(2500.0, 5000.0]","[0.0, 0.01)",,4.0,'male single',none,,'life insurance',"(30.0, 40.0]",none,,1.0,skilled,1.0,none,yes,bad,02/1995,yes
"Hughes, SD",South Dakota,"(-0.01, 0.01]","(0.0, 12.0]",'critical/other existing credit',furniture/equipment,,"[0.0, 0.01)",4<=X<7,3.0,'female div/dep/mar',none,4.0,car,"(30.0, 40.0]",none,rent,1.0,skilled,1.0,yes,no,bad,02/1995,no
"Davidson, TN",Tennessee,"(0.01, 1000.0]","(36.0, 48.0]",'all paid','new car',"(10000.0, 12500.0]","[0.0, 0.01)",unemployed,4.0,'male single','co applicant',4.0,'no known property',"(30.0, 40.0]",none,'for free',1.0,'high qualif/self emp/mgmt',1.0,yes,no,good,02/1995,no
"Haywood, TN",Tennessee,"(0.01, 1000.0]","(36.0, 48.0]",'existing paid',radio/tv,"(2500.0, 5000.0]","[0.01, 100.0)",4<=X<7,,,none,4.0,'real estate',"(20.0, 30.0]",none,,,skilled,1.0,none,yes,good,02/1995,yes
"Robertson, TN",Tennessee,"(-10000.0, -1000.0]","(24.0, 36.0]",,repairs,"(10000.0, 12500.0]","[0.01, 100.0)",<1,,'male div/sep',none,,,"(30.0, 40.0]",none,own,1.0,'unskilled resident',1.0,yes,no,good,02/1995,no
"Shelby, TN",Tennessee,"(-0.01, 0.01]","(0.0, 12.0]",'existing paid',radio/tv,,"[0.0, 0.01)",1<=X<4,,,none,2.0,'real estate',"(30.0, 40.0]",none,own,1.0,skilled,2.0,none,yes,good,02/1995,yes
"Dallas, TX",Texas,"(-0.01, 0.01]","(12.0, 24.0]",'critical/other existing credit',,,"[0.0, 0.01)",,,'female div/dep/mar',none,2.0,car,"(20.0, 30.0]",none,own,2.0,skilled,1.0,none,no,good,02/1995,no
"El Paso, TX",Texas,"(-10000.0, -1000.0]","(0.0, 12.0]",,furniture/equipment,"(1000.0, 2500.0]","[0.0, 0.01)",>=7,2.0,'male div/sep',,4.0,'life insurance',"(40.0, 50.0]",none,own,1.0,'unskilled resident',1.0,yes,no,good,02/1995,no
"El Paso, TX",Texas,"(-0.01, 0.01]","(0.0, 12.0]",'existing paid',furniture/equipment,"(2500.0, 5000.0]","[0.0, 0.01)",<1,1.0,'female div/dep/mar',,,'life insurance',"(30.0, 40.0]",none,own,1.0,skilled,1.0,none,no,good,02/1995,no
"Franklin, TX",Texas,"(-0.01, 0.01]","(12.0, 24.0]",,radio/tv,"(1000.0, 2500.0]","[0.0, 0.01)",1<=X<4,4.0,,,4.0,car,"(20.0, 30.0]",none,rent,1.0,'high qualif/self emp/mgmt',,yes,no,bad,02/1995,no
"Harris, TX",Texas,"(-0.01, 0.01]","(12.0, 24.0]",'critical/other existing credit',,,"[0.0, 0.01)",>=7,3.0,,none,4.0,'no known property',"(20.0, 30.0]",none,rent,2.0,skilled,1.0,yes,yes,good,02/1995,yes
"Harris, TX",Texas,"(-0.01, 0.01]","(0.0, 12.0]",'existing paid',furniture/equipment,"(1000.0, 2500.0]","[0.0, 0.01)",1<=X<4,4.0,'male single',none,2.0,'real estate',"(40.0, 50.0]",none,own,1.0,skilled,1.0,,no,bad,02/1995,no
"Hidalgo, TX",Texas,"(-0.01, 0.01]","(12.0, 24.0]",'all paid',radio/tv,"(1000.0, 2500.0]","[0.0, 0.01)",4<=X<7,4.0,,none,4.0,car,,,own,1.0,'unskilled resident',1.0,none,no,good,02/1995,no
"Jefferson, TX",Texas,"(-0.01, 0.01]","(12.0, 24.0]",'critical/other existing credit',,"(1000.0, 2500.0]","[0.0, 0.01)",>=7,4.0,'male single',none,4.0,'life insurance',"(60.0, 70.0]",none,own,1.0,skilled,1.0,none,no,good,02/1995,no
"Jefferson, TX",Texas,"(0.01, 1000.0]","(12.0, 24.0]",,'new car',"(2500.0, 5000.0]","[100.0, 500.0)",<1,4.0,'male div/sep',none,2.0,car,,,,1.0,skilled,1.0,yes,yes,good,02/1995,yes
"Nueces, TX",Texas,"(-10000.0, -1000.0]",,'existing paid','new car',,"[0.01, 100.0)",<1,1.0,'female div/dep/mar',,1.0,'real estate',"(30.0, 40.0]",none,own,1.0,'unskilled resident',1.0,,no,good,02/1995,no
"Potter, TX",Texas,"(-10000.0, -1000.0]","(36.0, 48.0]",'existing paid','used car',,"[0.01, 100.0)",4<=X<7,4.0,'male single',none,3.0,'life insurance',"(20.0, 30.0]",none,own,1.0,skilled,2.0,,yes,bad,02/1995,yes
"Tarrant, TX",Texas,"(0.01, 1000.0]","(36.0, 48.0]",'delayed previously',other,,"[100.0, 500.0)",unemployed,2.0,'male single',none,,'no known property',"(30.0, 40.0]",none,'for free',1.0,'high qualif/self emp/mgmt',1.0,yes,no,good,02/1995,no
"Travis, TX",Texas,"(0.01, 1000.0]","(0.0, 12.0]",'existing paid',radio/tv,"(1000.0, 2500.0]","[0.01, 100.0)",1<=X<4,4.0,'female div/dep/mar',,4.0,'real estate',,none,own,2.0,skilled,1.0,,no,good,02/1995,no
"Dallas, TX",Texas,"(-10000.0, -1000.0]","(12.0, 24.0]",,radio/tv,"(1000.0, 2500.0]","[0.0, 0.01)",<1,4.0,'male mar/wid',none,4.0,'real estate',"(40.0, 50.0]",stores,own,1.0,skilled,1.0,none,1,bad,02/1995,1
"Harris, TX",Texas,"(-0.01, 0.01]","(0.0, 12.0]",'existing paid',business,"(1000.0, 2500.0]","[0.0, 0.01)",1<=X<4,2.0,,none,2.0,'real estate',"(20.0, 30.0]",,own,1.0,skilled,1.0,yes,no,bad,02/1995,no
"Bexar, TX",Texas,"(0.01, 1000.0]","(24.0, 36.0]",'existing paid','used car',"(7500.0, 10000.0]","[0.01, 100.0)",<1,1.0,'male mar/wid',none,4.0,car,"(20.0, 30.0]",none,rent,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,good,02/1995,yes
"Salt Lake, UT",Utah,"(-10000.0, -1000.0]","(12.0, 24.0]",'critical/other existing credit','used car',"(5000.0, 7500.0]","[0.01, 100.0)",>=7,2.0,'female div/dep/mar',none,4.0,'no known property',"(40.0, 50.0]",none,'for free',2.0,'high qualif/self emp/mgmt',2.0,yes,no,bad,02/1995,no
"Accomack, VA",Virginia,"(1000.0, 10000.0]",,'critical/other existing credit','used car',,"[0.01, 100.0)",>=7,4.0,'male single',none,4.0,'no known property',"(50.0, 60.0]",none,'for free',1.0,skilled,1.0,none,no,good,02/1995,no
"Prince William, VA",Virginia,"(-0.01, 0.01]","(36.0, 48.0]",'critical/other existing credit',business,"(7500.0, 10000.0]","[0.0, 0.01)",>=7,4.0,'male div/sep',none,2.0,car,"(40.0, 50.0]",bank,own,2.0,'high qualif/self emp/mgmt',2.0,none,no,bad,02/1995,no
"Russell, VA",Virginia,"(0.01, 1000.0]","(36.0, 48.0]",'existing paid',furniture/equipment,"(7500.0, 10000.0]","[0.01, 100.0)",<1,1.0,,none,2.0,car,"(20.0, 30.0]",none,own,1.0,skilled,1.0,,yes,good,02/1995,yes
"Newport News, VA",Virginia,"(-0.01, 0.01]","(0.0, 12.0]",'existing paid','used car',"(2500.0, 5000.0]","[0.0, 0.01)",,1.0,'female div/dep/mar',none,4.0,car,"(10.0, 20.0]",none,rent,1.0,skilled,1.0,none,no,bad,03/1995,no
"Norfolk, VA",Virginia,"(-0.01, 0.01]","(0.0, 12.0]",'existing paid',,"(1000.0, 2500.0]","[0.0, 0.01)",,4.0,'male single','co applicant',2.0,'life insurance',"(40.0, 50.0]",none,,1.0,'unskilled resident',1.0,,yes,good,03/1995,yes
"Portsmouth, VA",Virginia,"(-0.01, 0.01]","(12.0, 24.0]",,furniture/equipment,"(2500.0, 5000.0]","[0.0, 0.01)",1<=X<4,3.0,'male single',none,4.0,'real estate',"(40.0, 50.0]",none,own,,skilled,1.0,yes,yes,bad,03/1995,yes
"Richmond, VA",Virginia,"(0.01, 1000.0]","(12.0, 24.0]",'critical/other existing credit',furniture/equipment,"(2500.0, 5000.0]","[1000.0, 2500.0)",4<=X<7,3.0,'male single',none,2.0,car,"(30.0, 40.0]",none,own,2.0,skilled,1.0,yes,1,good,03/1995,1
"Kitsap, WA",Washington,"(-0.01, 0.01]","(0.0, 12.0]",'existing paid','new car',"(500.0, 1000.0]","[0.0, 0.01)",unemployed,1.0,'female div/dep/mar',none,4.0,'real estate',"(50.0, 60.0]",none,own,1.0,'unemp/unskilled non res',,yes,no,good,03/1995,no
"Pierce, WA",Washington,"(0.01, 1000.0]","(24.0, 36.0]",,radio/tv,"(2500.0, 5000.0]","[0.0, 0.01)",1<=X<4,4.0,'female div/dep/mar',none,1.0,car,"(40.0, 50.0]",none,own,1.0,skilled,,yes,yes,good,03/1995,yes
"Spokane, WA",Washington,"(1000.0, 10000.0]",,'critical/other existing credit','new car',"(1000.0, 2500.0]","[0.0, 0.01)",4<=X<7,4.0,'male single',none,,'real estate',"(30.0, 40.0]",bank,own,2.0,'unskilled resident',2.0,none,no,good,03/1995,no
"Milwaukee, WI",Wisconsin,"(-10000.0, -1000.0]","(0.0, 12.0]",'critical/other existing credit',,"(1000.0, 2500.0]","[0.01, 100.0)",4<=X<7,4.0,'male single','co applicant',,,"(40.0, 50.0]",none,,2.0,skilled,1.0,yes,yes,bad,03/1995,yes
"Anchorage, AK",Alaska,"(-0.01, 0.01]","(36.0, 48.0]",'critical/other existing credit','new car',,"[0.0, 0.01)",1<=X<4,2.0,'male single',none,2.0,'no known property',"(40.0, 50.0]",bank,,1.0,skilled,1.0,none,yes,bad,03/1995,yes
"Maricopa, AZ",Arizona,"(-0.01, 0.01]","(0.0, 12.0]",,furniture/equipment,"(1000.0, 2500.0]","[0.0, 0.01)",1<=X<4,4.0,'male div/sep',none,2.0,'real estate',"(30.0, 40.0]",none,own,1.0,skilled,1.0,none,yes,good,03/1995,yes
"Maricopa, AZ",Arizona,"(-0.01, 0.01]",,'existing paid','used car',"(2500.0, 5000.0]","[0.0, 0.01)",4<=X<7,2.0,'female div/dep/mar',none,,'life insurance',"(20.0, 30.0]",stores,rent,1.0,'unskilled resident',1.0,none,no,good,03/1995,no
"Pima, AZ",Arizona,"(-10000.0, -1000.0]","(0.0, 12.0]",'existing paid',radio/tv,"(500.0, 1000.0]","[100.0, 500.0)",<1,4.0,'male mar/wid',none,3.0,'no known property',"(30.0, 40.0]",none,own,1.0,'unskilled resident',1.0,yes,yes,bad,03/1995,yes
"Alameda, CA",California,"(-0.01, 0.01]","(0.0, 12.0]",,furniture/equipment,"(1000.0, 2500.0]","[0.0, 0.01)",1<=X<4,3.0,'female div/dep/mar',none,4.0,'real estate',"(20.0, 30.0]",none,own,1.0,skilled,1.0,none,no,bad,03/1995,no
"Kern, CA",California,"(-0.01, 0.01]","(0.0, 12.0]",'existing paid','new car',"(200.0, 500.0]","[0.0, 0.01)",1<=X<4,4.0,'male mar/wid',none,4.0,'real estate',,none,rent,,'unskilled resident',,none,no,bad,03/1995,no
"Los Angeles, CA",California,"(0.01, 1000.0]","(36.0, 48.0]",,other,"(5000.0, 7500.0]","[0.0, 0.01)",unemployed,3.0,,none,4.0,'no known property',"(30.0, 40.0]",bank,'for free',1.0,'unemp/unskilled non res',1.0,yes,no,good,03/1995,no
"Los Angeles, CA",California,"(-0.01, 0.01]","(12.0, 24.0]",'existing paid',furniture/equipment,"(5000.0, 7500.0]","[0.0, 0.01)",1<=X<4,4.0,'male single',none,1.0,car,"(20.0, 30.0]",stores,,1.0,skilled,1.0,none,no,good,03/1995,no
"San Francisco, CA",California,"(0.01, 1000.0]","(12.0, 24.0]",,furniture/equipment,,"[0.01, 100.0)",,2.0,,none,4.0,car,"(20.0, 30.0]",none,own,1.0,skilled,1.0,none,yes,bad,03/1995,yes
"Los Angeles, CA",California,"(0.01, 1000.0]","(0.0, 12.0]",'existing paid',,"(500.0, 1000.0]","[0.01, 100.0)",4<=X<7,2.0,'male mar/wid',none,3.0,car,"(20.0, 30.0]",bank,own,1.0,'unskilled resident',1.0,none,yes,good,03/1995,yes
"Sacramento, CA",California,"(1000.0, 10000.0]","(0.0, 12.0]",'existing paid','new car',"(1000.0, 2500.0]","[0.0, 0.01)",<1,1.0,'male single',none,,,"(20.0, 30.0]",none,own,1.0,'unskilled resident',2.0,,yes,good,03/1995,yes
"Sacramento, CA",California,"(-10000.0, -1000.0]","(24.0, 36.0]",'all paid',furniture/equipment,"(2500.0, 5000.0]","[0.01, 100.0)",>=7,4.0,'male single',,4.0,car,"(30.0, 40.0]",bank,own,1.0,,1.0,none,no,good,03/1995,no
"San Bernardino, CA",California,"(-10000.0, -1000.0]","(0.0, 12.0]",'existing paid',furniture/equipment,"(500.0, 1000.0]","[0.0, 0.01)",,2.0,'male single',guarantor,3.0,'life insurance',"(30.0, 40.0]",,own,1.0,'unskilled resident',2.0,,no,good,03/1995,no
"San Diego, CA",California,"(0.01, 1000.0]","(12.0, 24.0]",'existing paid',furniture/equipment,,"[0.0, 0.01)",1<=X<4,1.0,'female div/dep/mar',none,4.0,'life insurance',"(40.0, 50.0]",none,own,1.0,,1.0,yes,1,good,03/1995,1
"San Francisco, CA",California,"(-0.01, 0.01]","(0.0, 12.0]",,education,"(500.0, 1000.0]","[0.0, 0.01)",1<=X<4,4.0,'male single',none,2.0,car,"(30.0, 40.0]",none,own,2.0,skilled,1.0,none,yes,bad,03/1995,yes
"El Paso, CO",Colorado,"(-10000.0, -1000.0]","(12.0, 24.0]",'delayed previously',furniture/equipment,"(2500.0, 5000.0]","[0.01, 100.0)",>=7,1.0,'female div/dep/mar',none,,'life insurance',"(20.0, 30.0]",none,own,2.0,'unskilled resident',1.0,none,yes,bad,03/1995,yes
"Denver, CO",Colorado,"(0.01, 1000.0]","(24.0, 36.0]",'critical/other existing credit',,"(2500.0, 5000.0]","[0.01, 100.0)",unemployed,4.0,'male mar/wid',none,2.0,car,"(20.0, 30.0]",none,,2.0,'high qualif/self emp/mgmt',1.0,none,yes,good,03/1995,yes
"Hartford, CT",Connecticut,"(-10000.0, -1000.0]","(12.0, 24.0]",'existing paid',radio/tv,"(1000.0, 2500.0]","[0.01, 100.0)",<1,4.0,'male div/sep',none,3.0,'life insurance',"(30.0, 40.0]",none,,1.0,skilled,1.0,none,yes,bad,03/1995,yes
District of Columbia,District of Columbia,"(-10000.0, -1000.0]","(12.0, 24.0]",'existing paid','used car',"(2500.0, 5000.0]","[0.01, 100.0)",4<=X<7,2.0,,,1.0,'no known property',"(30.0, 40.0]",none,'for free',1.0,'high qualif/self emp/mgmt',1.0,yes,no,good,03/1995,no
"Chatham, GA",Georgia,"(-10000.0, -1000.0]","(12.0, 24.0]",,furniture/equipment,"(2500.0, 5000.0]","[5000.0, 7500.0)",1<=X<4,4.0,'male single',none,2.0,car,"(20.0, 30.0]",none,,1.0,skilled,1.0,none,yes,good,03/1995,yes
"Clayton, GA",Georgia,"(-0.01, 0.01]","(12.0, 24.0]",'critical/other existing credit','new car',"(1000.0, 2500.0]","[0.0, 0.01)",1<=X<4,4.0,'female div/dep/mar',,3.0,'real estate',"(30.0, 40.0]",none,own,2.0,skilled,1.0,none,no,bad,03/1995,no
"De Kalb, GA",Georgia,"(-10000.0, -1000.0]","(0.0, 12.0]",'critical/other existing credit','new car',"(2500.0, 5000.0]","[0.01, 100.0)",4<=X<7,1.0,,none,4.0,'real estate',"(30.0, 40.0]",none,own,2.0,'unskilled resident',1.0,none,no,bad,03/1995,no
"Fulton, GA",Georgia,"(-0.01, 0.01]","(0.0, 12.0]",'critical/other existing credit',furniture/equipment,,"[0.0, 0.01)",>=7,2.0,'male single',none,4.0,'life insurance',"(40.0, 50.0]",none,rent,1.0,skilled,1.0,yes,no,bad,03/1995,no
"Fulton, GA",Georgia,"(-0.01, 0.01]","(12.0, 24.0]",'existing paid','new car',"(1000.0, 2500.0]","[0.0, 0.01)",4<=X<7,4.0,'female div/dep/mar',,3.0,car,"(30.0, 40.0]",none,own,1.0,skilled,2.0,yes,yes,good,04/1995,yes
"Cook, IL",Illinois,"(1000.0, 10000.0]","(24.0, 36.0]",'existing paid',radio/tv,"(2500.0, 5000.0]","[0.01, 100.0)",>=7,4.0,'male single',none,2.0,car,"(30.0, 40.0]",none,own,1.0,skilled,,none,yes,good,04/1995,yes
"Marion, IN",Indiana,,,,,,,,,,,,,,,,,,,,,,04/1995,
"Jefferson, KY",Kentucky,"(0.01, 1000.0]","(0.0, 12.0]",'existing paid',radio/tv,"(1000.0, 2500.0]","[0.01, 100.0)",>=7,4.0,'male single',none,4.0,car,"(20.0, 30.0]",none,own,1.0,skilled,2.0,none,yes,good,04/1995,yes
"Caddo, LA",Louisiana,"(-10000.0, -1000.0]","(12.0, 24.0]",'critical/other existing credit','used car',"(5000.0, 7500.0]","[0.01, 100.0)",,2.0,'male single',none,4.0,'no known property',"(70.0, 80.0]",none,,2.0,'high qualif/self emp/mgmt',1.0,yes,no,bad,04/1995,no
"East Baton Rouge, LA",Louisiana,"(-0.01, 0.01]","(12.0, 24.0]",'critical/other existing credit',education,"(1000.0, 2500.0]","[0.0, 0.01)",1<=X<4,4.0,,none,2.0,'real estate',"(20.0, 30.0]",none,own,2.0,skilled,1.0,,yes,good,04/1995,yes
"Jefferson, LA",Louisiana,"(0.01, 1000.0]","(48.0, 60.0]",'existing paid','new car',"(5000.0, 7500.0]","[100.0, 500.0)",<1,4.0,,none,2.0,,"(20.0, 30.0]",none,own,1.0,'high qualif/self emp/mgmt',1.0,none,no,good,04/1995,no
"Orleans, LA",Louisiana,"(-0.01, 0.01]","(36.0, 48.0]",'critical/other existing credit','used car',"(10000.0, 12500.0]","[0.0, 0.01)",1<=X<4,2.0,'female div/dep/mar',none,4.0,car,"(20.0, 30.0]",bank,rent,,'unskilled resident',1.0,none,yes,good,04/1995,yes
"Suffolk, MA",Massachusetts,"(-1000.0, -0.01]","(12.0, 24.0]",'no credits/all paid',furniture/equipment,"(2500.0, 5000.0]","[0.01, 100.0)",,3.0,'male single',none,,'no known property',,bank,,2.0,skilled,2.0,none,no,bad,04/1995,no
"Anne Arundel, MD",Maryland,"(-10000.0, -1000.0]","(0.0, 12.0]",'critical/other existing credit',furniture/equipment,"(2500.0, 5000.0]","[0.01, 100.0)",1<=X<4,1.0,'male div/sep',none,4.0,'real estate',"(40.0, 50.0]",none,rent,1.0,'high qualif/self emp/mgmt',1.0,,yes,bad,04/1995,yes
"Baltimore city, MD",Maryland,"(0.01, 1000.0]","(12.0, 24.0]",'existing paid',radio/tv,"(1000.0, 2500.0]","[0.01, 100.0)",<1,2.0,'female div/dep/mar',guarantor,4.0,'life insurance',"(20.0, 30.0]",none,own,1.0,'unskilled resident',1.0,none,yes,good,04/1995,yes
"Saginaw, MI",Michigan,"(-10000.0, -1000.0]","(12.0, 24.0]",'existing paid','domestic appliance',,"[0.0, 0.01)",1<=X<4,4.0,'female div/dep/mar',none,2.0,car,"(20.0, 30.0]",,rent,1.0,skilled,1.0,none,no,bad,04/1995,no
"Wayne, MI",Michigan,"(-10000.0, -1000.0]","(12.0, 24.0]",'existing paid',furniture/equipment,"(2500.0, 5000.0]","[0.01, 100.0)",1<=X<4,4.0,'male single',,,'life insurance',"(20.0, 30.0]",,own,1.0,skilled,1.0,none,no,good,04/1995,no
"Greene, MO",Missouri,"(0.01, 1000.0]","(0.0, 12.0]",'existing paid',furniture/equipment,,"[0.01, 100.0)",1<=X<4,4.0,'male div/sep',none,2.0,car,"(30.0, 40.0]",,own,1.0,'unskilled resident',1.0,none,yes,good,04/1995,yes
"Jackson, MO",Missouri,"(0.01, 1000.0]","(12.0, 24.0]",'critical/other existing credit',education,"(5000.0, 7500.0]","[0.01, 100.0)",<1,2.0,'female div/dep/mar',none,4.0,'no known property',,none,'for free',2.0,skilled,1.0,yes,yes,bad,04/1995,yes
"Rolla, MO",Missouri,"(-10000.0, -1000.0]","(12.0, 24.0]",'existing paid',furniture/equipment,,"[0.01, 100.0)",4<=X<7,1.0,'female div/dep/mar',none,4.0,car,,none,rent,1.0,'unskilled resident',1.0,none,no,good,04/1995,no
"Forrest, MS",Mississippi,"(0.01, 1000.0]","(12.0, 24.0]",'existing paid',radio/tv,"(2500.0, 5000.0]","[0.0, 0.01)",<1,1.0,'male mar/wid',none,3.0,'real estate',"(20.0, 30.0]",none,rent,1.0,skilled,,none,no,good,04/1995,no
"Hinds, MS",Mississippi,"(0.01, 1000.0]","(12.0, 24.0]",'existing paid',,"(2500.0, 5000.0]","[0.01, 100.0)",>=7,1.0,'male single','co applicant',1.0,'real estate',"(30.0, 40.0]",bank,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,good,04/1995,yes
"Nash, NC",North Carolina,"(1000.0, 10000.0]","(0.0, 12.0]",'existing paid','new car',"(2500.0, 5000.0]","[0.01, 100.0)",<1,1.0,'male single',,,'life insurance',"(30.0, 40.0]",none,own,1.0,,2.0,none,no,good,04/1995,no
"Guilford, NC",North Carolina,"(-0.01, 0.01]","(12.0, 24.0]",'critical/other existing credit',radio/tv,"(1000.0, 2500.0]","[0.0, 0.01)",1<=X<4,4.0,'female div/dep/mar',none,2.0,car,"(40.0, 50.0]",none,own,1.0,'unskilled resident',1.0,none,yes,good,04/1995,yes
"Mecklenburg, NC",North Carolina,"(0.01, 1000.0]",,'critical/other existing credit',radio/tv,"(500.0, 1000.0]","[0.0, 0.01)",<1,4.0,'male single',,4.0,'real estate',"(20.0, 30.0]",none,own,2.0,skilled,,none,yes,bad,04/1995,yes
"Hillsborough, NH",New Hampshire,"(0.01, 1000.0]","(12.0, 24.0]",'existing paid',radio/tv,"(2500.0, 5000.0]","[500.0, 1000.0)",unemployed,1.0,'female div/dep/mar',none,,'no known property',"(20.0, 30.0]",none,rent,1.0,'unemp/unskilled non res',1.0,none,no,bad,04/1995,no
"Camden, NJ",New Jersey,"(-0.01, 0.01]","(0.0, 12.0]",'delayed previously',business,"(1000.0, 2500.0]","[0.0, 0.01)",1<=X<4,,'male single',none,2.0,'real estate',"(30.0, 40.0]",none,,2.0,'unskilled resident',,none,yes,good,04/1995,yes
"Mercer, NJ",New Jersey,"(0.01, 1000.0]","(0.0, 12.0]",'critical/other existing credit',education,"(1000.0, 2500.0]","[0.0, 0.01)",>=7,4.0,'male single',none,3.0,,"(30.0, 40.0]",none,'for free',,,2.0,,no,good,04/1995,no
"Passaic, NJ",New Jersey,"(-0.01, 0.01]","(0.0, 12.0]",'existing paid','domestic appliance',"(1000.0, 2500.0]","[0.0, 0.01)",<1,1.0,'female div/dep/mar',none,4.0,'real estate',"(20.0, 30.0]",none,rent,1.0,skilled,1.0,yes,yes,bad,04/1995,yes
"Passaic, NJ",New Jersey,"(0.01, 1000.0]","(0.0, 12.0]",'existing paid',furniture/equipment,,"[0.01, 100.0)",1<=X<4,1.0,'female div/dep/mar',none,,,"(20.0, 30.0]",none,own,1.0,skilled,1.0,none,yes,bad,04/1995,yes
"Essex, NJ",New Jersey,"(-0.01, 0.01]","(12.0, 24.0]",'critical/other existing credit','used car',"(2500.0, 5000.0]","[0.0, 0.01)",unemployed,2.0,'male single',none,,'no known property',"(30.0, 40.0]",none,,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,good,04/1995,yes
