state,checking_amt,duration,credit_history,purpose,credit_amount,savings,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class,application_date,works_outside_US
Pennsylvania,'(-5000.0, -2500.0]','(0.0, 12.0]','critical/other existing credit',radio/tv,?,'[0.0, 0.01)',>=7,?,'male single',none,4,'real estate','(60.0, 70.0]',none,own,2,skilled,1,yes,no,bad,05/1994,no
Ohio,'(20.0, 50.0]','(0.0, 12.0]','existing paid',furniture/equipment,'(1000.0, 2500.0]','[0.0, 0.01)',4<=X<7,2,'male single',?,1,car,'(20.0, 30.0]',none,?,1,skilled,1,yes,no,good,01/1995,no
Ohio,'(20.0, 50.0]',?,'delayed previously',radio/tv,'(5000.0, 7500.0]','[0.0, 0.01)',1<=X<4,1,'male single',none,1,'real estate','(20.0, 30.0]',none,own,1,'unskilled resident',1,none,yes,bad,01/1995,yes
Oregon,'(-0.01, 0.01]','(12.0, 24.0]','critical/other existing credit',?,'(2500.0, 5000.0]','[0.0, 0.01)',1<=X<4,?,'male single',none,2,'real estate','(30.0, 40.0]',none,own,2,'unskilled resident',1,none,no,good,01/1995,no
Pennsylvania,'(-500.0, -100.0]','(0.0, 12.0]','all paid',radio/tv,'(1000.0, 2500.0]','[0.01, 20.0)',1<=X<4,4,?,none,1,'no known property','(20.0, 30.0]',none,'for free',1,?,1,none,yes,bad,01/1995,yes
Pennsylvania,'(-0.01, 0.01]','(12.0, 24.0]','existing paid','used car','(2500.0, 5000.0]','[0.0, 0.01)',<1,1,'female div/dep/mar',?,4,car,'(20.0, 30.0]',none,own,?,skilled,1,yes,no,good,01/1995,no
Pennsylvania,'(-0.01, 0.01]','(0.0, 12.0]','critical/other existing credit',radio/tv,'(1000.0, 2500.0]','[0.0, 0.01)',unemployed,?,'female div/dep/mar',none,4,'real estate','(50.0, 60.0]',?,own,3,'unskilled resident',1,none,no,good,01/1995,no
Pennsylvania,'(-7500.0, -5000.0]','(0.0, 12.0]',?,furniture/equipment,'(1000.0, 2500.0]','[20.0, 50.0)',1<=X<4,2,'male single',none,2,'real estate',?,none,own,1,skilled,1,none,yes,good,01/1995,yes
'Rhodes Island','(-2500.0, -1000.0]','(12.0, 24.0]','existing paid',radio/tv,'(1000.0, 2500.0]','[50.0, 100.0)',?,4,?,none,?,car,'(50.0, 60.0]',none,own,1,skilled,1,none,yes,bad,01/1995,yes
'South Carolina','(-2500.0, -1000.0]','(12.0, 24.0]','critical/other existing credit','new car','(5000.0, 7500.0]','[50.0, 100.0)',>=7,2,'male single',none,4,'no known property','(30.0, 40.0]',none,'for free',3,'high qualif/self emp/mgmt',?,yes,no,good,01/1995,no
'South Carolina','(-0.01, 0.01]','(0.0, 12.0]','critical/other existing credit',education,?,'[0.0, 0.01)',?,2,'female div/dep/mar',none,4,'no known property','(50.0, 60.0]',bank,'for free',3,'unskilled resident',1,none,yes,good,01/1995,yes
'South Carolina','(-0.01, 0.01]','(0.0, 12.0]','critical/other existing credit','new car','(1000.0, 2500.0]','[0.0, 0.01)',>=7,3,'male single',none,?,'real estate','(30.0, 40.0]',none,own,2,'unskilled resident',2,none,no,bad,01/1995,no
'South Carolina','(100.0, 500.0]','(12.0, 24.0]','existing paid',radio/tv,'(500.0, 1000.0]','[50.0, 100.0)',?,4,?,none,3,?,'(30.0, 40.0]',none,own,1,skilled,2,none,no,good,01/1995,no
'South Carolina','(-0.01, 0.01]','(24.0, 36.0]','critical/other existing credit',business,'(5000.0, 7500.0]','[0.0, 0.01)',>=7,4,?,none,4,'real estate','(30.0, 40.0]',none,own,2,skilled,?,none,no,good,01/1995,no
'South Carolina','(-0.01, 0.01]','(12.0, 24.0]','existing paid',radio/tv,'(1000.0, 2500.0]','[0.0, 0.01)',<1,4,'female div/dep/mar',none,3,car,'(30.0, 40.0]',stores,own,1,skilled,1,?,yes,good,01/1995,yes
'South Carolina','(-1000.0, -500.0]','(12.0, 24.0]','existing paid','new car','(7500.0, 10000.0]','[50.0, 100.0)',>=7,1,'male div/sep',none,4,'life insurance','(40.0, 50.0]',none,own,1,'high qualif/self emp/mgmt',1,yes,no,bad,02/1995,no
'South Dakota','(-0.01, 0.01]','(12.0, 24.0]','existing paid',radio/tv,'(500.0, 1000.0]','[0.0, 0.01)',>=7,?,'male single',none,2,car,?,none,own,2,skilled,1,none,yes,good,02/1995,yes
'South Dakota','(-0.01, 0.01]','(12.0, 24.0]','existing paid','new car','(2500.0, 5000.0]','[0.0, 0.01)',?,4,'male single',none,?,'life insurance','(30.0, 40.0]',none,?,1,skilled,1,none,yes,bad,02/1995,yes
'South Dakota','(-0.01, 0.01]','(0.0, 12.0]','critical/other existing credit',furniture/equipment,?,'[0.0, 0.01)',4<=X<7,3,'female div/dep/mar',none,4,car,'(30.0, 40.0]',none,rent,1,skilled,1,yes,no,bad,02/1995,no
Tennessee,'(100.0, 500.0]','(36.0, 48.0]','all paid','new car','(10000.0, 12500.0]','[0.0, 0.01)',unemployed,4,'male single','co applicant',4,'no known property','(30.0, 40.0]',none,'for free',1,'high qualif/self emp/mgmt',1,yes,no,good,02/1995,no
Tennessee,'(100.0, 500.0]','(36.0, 48.0]','existing paid',radio/tv,'(2500.0, 5000.0]','[50.0, 100.0)',4<=X<7,?,?,none,4,'real estate','(20.0, 30.0]',none,?,?,skilled,1,none,yes,good,02/1995,yes
Tennessee,'(-7500.0, -5000.0]','(24.0, 36.0]',?,repairs,'(10000.0, 12500.0]','[20.0, 50.0)',<1,?,'male div/sep',none,?,?,'(30.0, 40.0]',none,own,1,'unskilled resident',1,yes,no,good,02/1995,no
Tennessee,'(-0.01, 0.01]','(0.0, 12.0]','existing paid',radio/tv,?,'[0.0, 0.01)',1<=X<4,?,?,none,2,'real estate','(30.0, 40.0]',none,own,1,skilled,2,none,yes,good,02/1995,yes
Texas,'(-0.01, 0.01]','(12.0, 24.0]','critical/other existing credit',?,?,'[0.0, 0.01)',?,?,'female div/dep/mar',none,2,car,'(20.0, 30.0]',none,own,2,skilled,1,none,no,good,02/1995,no
Texas,'(-7500.0, -5000.0]','(0.0, 12.0]',?,furniture/equipment,'(1000.0, 2500.0]','[0.0, 0.01)',>=7,2,'male div/sep',?,4,'life insurance','(40.0, 50.0]',none,own,1,'unskilled resident',1,yes,no,good,02/1995,no
Texas,'(-0.01, 0.01]','(0.0, 12.0]','existing paid',furniture/equipment,'(2500.0, 5000.0]','[0.0, 0.01)',<1,1,'female div/dep/mar',?,?,'life insurance','(30.0, 40.0]',none,own,1,skilled,1,none,no,good,02/1995,no
Texas,'(-0.01, 0.01]','(12.0, 24.0]',?,radio/tv,'(1000.0, 2500.0]','[0.0, 0.01)',1<=X<4,4,?,?,4,car,'(20.0, 30.0]',none,rent,1,'high qualif/self emp/mgmt',?,yes,no,bad,02/1995,no
Texas,'(-0.01, 0.01]','(12.0, 24.0]','critical/other existing credit',?,?,'[0.0, 0.01)',>=7,3,?,none,4,'no known property','(20.0, 30.0]',none,rent,2,skilled,1,yes,yes,good,02/1995,yes
Texas,'(-0.01, 0.01]','(0.0, 12.0]','existing paid',furniture/equipment,'(1000.0, 2500.0]','[0.0, 0.01)',1<=X<4,4,'male single',none,2,'real estate','(40.0, 50.0]',none,own,1,skilled,1,?,no,bad,02/1995,no
Texas,'(-0.01, 0.01]','(12.0, 24.0]','all paid',radio/tv,'(1000.0, 2500.0]','[0.0, 0.01)',4<=X<7,4,?,none,4,car,?,?,own,1,'unskilled resident',1,none,no,good,02/1995,no
Texas,'(-0.01, 0.01]','(12.0, 24.0]','critical/other existing credit',?,'(1000.0, 2500.0]','[0.0, 0.01)',>=7,4,'male single',none,4,'life insurance','(60.0, 70.0]',none,own,1,skilled,1,none,no,good,02/1995,no
Texas,'(0.01, 20.0]','(12.0, 24.0]',?,'new car','(2500.0, 5000.0]','[100.0, 500.0)',<1,4,'male div/sep',none,2,car,?,?,?,1,skilled,1,yes,yes,good,02/1995,yes
Texas,'(-7500.0, -5000.0]',?,'existing paid','new car',?,'[50.0, 100.0)',<1,1,'female div/dep/mar',?,1,'real estate','(30.0, 40.0]',none,own,1,'unskilled resident',1,?,no,good,02/1995,no
Texas,'(-10000.0, -7500.0]','(36.0, 48.0]','existing paid','used car',?,'[20.0, 50.0)',4<=X<7,4,'male single',none,3,'life insurance','(20.0, 30.0]',none,own,1,skilled,2,?,yes,bad,02/1995,yes
Texas,'(100.0, 500.0]','(36.0, 48.0]','delayed previously',other,?,'[100.0, 500.0)',unemployed,2,'male single',none,?,'no known property','(30.0, 40.0]',none,'for free',1,'high qualif/self emp/mgmt',1,yes,no,good,02/1995,no
Texas,'(100.0, 500.0]','(0.0, 12.0]','existing paid',radio/tv,'(1000.0, 2500.0]','[20.0, 50.0)',1<=X<4,4,'female div/dep/mar',?,4,'real estate',?,none,own,2,skilled,1,?,no,good,02/1995,no
Texas,'(-10000.0, -7500.0]','(12.0, 24.0]',?,radio/tv,'(1000.0, 2500.0]','[0.0, 0.01)',<1,4,'male mar/wid',none,4,'real estate','(40.0, 50.0]',stores,own,1,skilled,1,none,yes,bad,02/1995,yes
Texas,'(-0.01, 0.01]','(0.0, 12.0]','existing paid',business,'(1000.0, 2500.0]','[0.0, 0.01)',1<=X<4,2,?,none,2,'real estate','(20.0, 30.0]',?,own,1,skilled,1,yes,no,bad,02/1995,no
Texas,'(100.0, 500.0]','(24.0, 36.0]','existing paid','used car','(7500.0, 10000.0]','[50.0, 100.0)',<1,1,'male mar/wid',none,4,car,'(20.0, 30.0]',none,rent,1,'high qualif/self emp/mgmt',1,yes,yes,good,02/1995,yes
Utah,'(-10000.0, -7500.0]','(12.0, 24.0]','critical/other existing credit','used car','(5000.0, 7500.0]','[0.01, 20.0)',>=7,2,'female div/dep/mar',none,4,'no known property','(40.0, 50.0]',none,'for free',2,'high qualif/self emp/mgmt',2,yes,no,bad,02/1995,no
Virginia,'(7500.0, 10000.0]',?,'critical/other existing credit','used car',?,'[20.0, 50.0)',>=7,4,'male single',none,4,'no known property','(50.0, 60.0]',none,'for free',1,skilled,1,none,no,good,02/1995,no
Virginia,'(-0.01, 0.01]','(36.0, 48.0]','critical/other existing credit',business,'(7500.0, 10000.0]','[0.0, 0.01)',>=7,4,'male div/sep',none,2,car,'(40.0, 50.0]',bank,own,2,'high qualif/self emp/mgmt',2,none,no,bad,02/1995,no
Virginia,'(50.0, 100.0]','(36.0, 48.0]','existing paid',furniture/equipment,'(7500.0, 10000.0]','[50.0, 100.0)',<1,1,?,none,2,car,'(20.0, 30.0]',none,own,1,skilled,1,?,yes,good,02/1995,yes
Virginia,'(-0.01, 0.01]','(0.0, 12.0]','existing paid','used car','(2500.0, 5000.0]','[0.0, 0.01)',?,1,'female div/dep/mar',none,4,car,'(10.0, 20.0]',none,rent,1,skilled,1,none,no,bad,03/1995,no
Virginia,'(-0.01, 0.01]','(0.0, 12.0]','existing paid',?,'(1000.0, 2500.0]','[0.0, 0.01)',?,4,'male single','co applicant',2,'life insurance','(40.0, 50.0]',none,?,1,'unskilled resident',1,?,yes,good,03/1995,yes
Virginia,'(-0.01, 0.01]','(12.0, 24.0]',?,furniture/equipment,'(2500.0, 5000.0]','[0.0, 0.01)',1<=X<4,3,'male single',none,4,'real estate','(40.0, 50.0]',none,own,?,skilled,1,yes,yes,bad,03/1995,yes
Virginia,'(0.01, 20.0]','(12.0, 24.0]','critical/other existing credit',furniture/equipment,'(2500.0, 5000.0]','[1000.0, 2500.0)',4<=X<7,3,'male single',none,2,car,'(30.0, 40.0]',none,own,2,skilled,1,yes,yes,good,03/1995,yes
Washington,'(-0.01, 0.01]','(0.0, 12.0]','existing paid','new car','(500.0, 1000.0]','[0.0, 0.01)',unemployed,1,'female div/dep/mar',none,4,'real estate','(50.0, 60.0]',none,own,1,'unemp/unskilled non res',?,yes,no,good,03/1995,no
Washington,'(100.0, 500.0]','(24.0, 36.0]',?,radio/tv,'(2500.0, 5000.0]','[0.0, 0.01)',1<=X<4,4,'female div/dep/mar',none,1,car,'(40.0, 50.0]',none,own,1,skilled,?,yes,yes,good,03/1995,yes
Washington,'(5000.0, 7500.0]',?,'critical/other existing credit','new car','(1000.0, 2500.0]','[0.0, 0.01)',4<=X<7,4,'male single',none,?,'real estate','(30.0, 40.0]',bank,own,2,'unskilled resident',2,none,no,good,03/1995,no
Wisconsin,'(-10000.0, -7500.0]','(0.0, 12.0]','critical/other existing credit',?,'(1000.0, 2500.0]','[20.0, 50.0)',4<=X<7,4,'male single','co applicant',?,?,'(40.0, 50.0]',none,?,2,skilled,1,yes,yes,bad,03/1995,yes
Alaska,'(-0.01, 0.01]','(36.0, 48.0]','critical/other existing credit','new car',?,'[0.0, 0.01)',1<=X<4,2,'male single',none,2,'no known property','(40.0, 50.0]',bank,?,1,skilled,1,none,yes,bad,03/1995,yes
Arizona,'(-0.01, 0.01]','(0.0, 12.0]',?,furniture/equipment,'(1000.0, 2500.0]','[0.0, 0.01)',1<=X<4,4,'male div/sep',none,2,'real estate','(30.0, 40.0]',none,own,1,skilled,1,none,yes,good,03/1995,yes
Arizona,'(-0.01, 0.01]',?,'existing paid','used car','(2500.0, 5000.0]','[0.0, 0.01)',4<=X<7,2,'female div/dep/mar',none,?,'life insurance','(20.0, 30.0]',stores,rent,1,'unskilled resident',1,none,no,good,03/1995,no
Arizona,'(-10000.0, -7500.0]','(0.0, 12.0]','existing paid',radio/tv,'(500.0, 1000.0]','[100.0, 500.0)',<1,4,'male mar/wid',none,3,'no known property','(30.0, 40.0]',none,own,1,'unskilled resident',1,yes,yes,bad,03/1995,yes
California,'(-0.01, 0.01]','(0.0, 12.0]',?,furniture/equipment,'(1000.0, 2500.0]','[0.0, 0.01)',1<=X<4,3,'female div/dep/mar',none,4,'real estate','(20.0, 30.0]',none,own,1,skilled,1,none,no,bad,03/1995,no
California,'(-0.01, 0.01]','(0.0, 12.0]','existing paid','new car','(200.0, 500.0]','[0.0, 0.01)',1<=X<4,4,'male mar/wid',none,4,'real estate',?,none,rent,?,'unskilled resident',?,none,no,bad,03/1995,no
California,'(100.0, 500.0]','(36.0, 48.0]',?,other,'(5000.0, 7500.0]','[0.0, 0.01)',unemployed,3,?,none,4,'no known property','(30.0, 40.0]',bank,'for free',1,'unemp/unskilled non res',1,yes,no,good,03/1995,no
California,'(-0.01, 0.01]','(12.0, 24.0]','existing paid',furniture/equipment,'(5000.0, 7500.0]','[0.0, 0.01)',1<=X<4,4,'male single',none,1,car,'(20.0, 30.0]',stores,?,1,skilled,1,none,no,good,03/1995,no
California,'(500.0, 1000.0]','(12.0, 24.0]',?,furniture/equipment,?,'[50.0, 100.0)',?,2,?,none,4,car,'(20.0, 30.0]',none,own,1,skilled,1,none,yes,bad,03/1995,yes
California,'(100.0, 500.0]','(0.0, 12.0]','existing paid',?,'(500.0, 1000.0]','[20.0, 50.0)',4<=X<7,2,'male mar/wid',none,3,car,'(20.0, 30.0]',bank,own,1,'unskilled resident',1,none,yes,good,03/1995,yes
California,'(2500.0, 5000.0]','(0.0, 12.0]','existing paid','new car','(1000.0, 2500.0]','[0.0, 0.01)',<1,1,'male single',none,?,?,'(20.0, 30.0]',none,own,1,'unskilled resident',2,?,yes,good,03/1995,yes
California,'(-7500.0, -5000.0]','(24.0, 36.0]','all paid',furniture/equipment,'(2500.0, 5000.0]','[20.0, 50.0)',>=7,4,'male single',?,4,car,'(30.0, 40.0]',bank,own,1,?,1,none,no,good,03/1995,no
California,'(-5000.0, -2500.0]','(0.0, 12.0]','existing paid',furniture/equipment,'(500.0, 1000.0]','[0.0, 0.01)',?,2,'male single',guarantor,3,'life insurance','(30.0, 40.0]',?,own,1,'unskilled resident',2,?,no,good,03/1995,no
California,'(50.0, 100.0]','(12.0, 24.0]','existing paid',furniture/equipment,?,'[0.0, 0.01)',1<=X<4,1,'female div/dep/mar',none,4,'life insurance','(40.0, 50.0]',none,own,1,?,1,yes,yes,good,03/1995,yes
California,'(-0.01, 0.01]','(0.0, 12.0]',?,education,'(500.0, 1000.0]','[0.0, 0.01)',1<=X<4,4,'male single',none,2,car,'(30.0, 40.0]',none,own,2,skilled,1,none,yes,bad,03/1995,yes
Colorado,'(-5000.0, -2500.0]','(12.0, 24.0]','delayed previously',furniture/equipment,'(2500.0, 5000.0]','[0.01, 20.0)',>=7,1,'female div/dep/mar',none,?,'life insurance','(20.0, 30.0]',none,own,2,'unskilled resident',1,none,yes,bad,03/1995,yes
Colorado,'(100.0, 500.0]','(24.0, 36.0]','critical/other existing credit',?,'(2500.0, 5000.0]','[50.0, 100.0)',unemployed,4,'male mar/wid',none,2,car,'(20.0, 30.0]',none,?,2,'high qualif/self emp/mgmt',1,none,yes,good,03/1995,yes
Connecticut,'(-5000.0, -2500.0]','(12.0, 24.0]','existing paid',radio/tv,'(1000.0, 2500.0]','[0.01, 20.0)',<1,4,'male div/sep',none,3,'life insurance','(30.0, 40.0]',none,?,1,skilled,1,none,yes,bad,03/1995,yes
'District of Columbia','(-5000.0, -2500.0]','(12.0, 24.0]','existing paid','used car','(2500.0, 5000.0]','[50.0, 100.0)',4<=X<7,2,?,?,1,'no known property','(30.0, 40.0]',none,'for free',1,'high qualif/self emp/mgmt',1,yes,no,good,03/1995,no
Georgia,'(-7500.0, -5000.0]','(12.0, 24.0]',?,furniture/equipment,'(2500.0, 5000.0]','[5000.0, 7500.0)',1<=X<4,4,'male single',none,2,car,'(20.0, 30.0]',none,?,1,skilled,1,none,yes,good,03/1995,yes
Georgia,'(-0.01, 0.01]','(12.0, 24.0]','critical/other existing credit','new car','(1000.0, 2500.0]','[0.0, 0.01)',1<=X<4,4,'female div/dep/mar',?,3,'real estate','(30.0, 40.0]',none,own,2,skilled,1,none,no,bad,03/1995,no
Georgia,'(-5000.0, -2500.0]','(0.0, 12.0]','critical/other existing credit','new car','(2500.0, 5000.0]','[50.0, 100.0)',4<=X<7,1,?,none,4,'real estate','(30.0, 40.0]',none,own,2,'unskilled resident',1,none,no,bad,03/1995,no
Georgia,'(-0.01, 0.01]','(0.0, 12.0]','critical/other existing credit',furniture/equipment,?,'[0.0, 0.01)',>=7,2,'male single',none,4,'life insurance','(40.0, 50.0]',none,rent,1,skilled,1,yes,no,bad,03/1995,no
Georgia,'(-0.01, 0.01]','(12.0, 24.0]','existing paid','new car','(1000.0, 2500.0]','[0.0, 0.01)',4<=X<7,4,'female div/dep/mar',?,3,car,'(30.0, 40.0]',none,own,1,skilled,2,yes,yes,good,04/1995,yes
Illinois,'(5000.0, 7500.0]','(24.0, 36.0]','existing paid',radio/tv,'(2500.0, 5000.0]','[20.0, 50.0)',>=7,4,'male single',none,2,car,'(30.0, 40.0]',none,own,1,skilled,?,none,yes,good,04/1995,yes
Kentucky,'(50.0, 100.0]','(0.0, 12.0]','existing paid',radio/tv,'(1000.0, 2500.0]','[50.0, 100.0)',>=7,4,'male single',none,4,car,'(20.0, 30.0]',none,own,1,skilled,2,none,yes,good,04/1995,yes
Louisiana,'(-10000.0, -7500.0]','(12.0, 24.0]','critical/other existing credit','used car','(5000.0, 7500.0]','[50.0, 100.0)',?,2,'male single',none,4,'no known property','(70.0, 80.0]',none,?,2,'high qualif/self emp/mgmt',1,yes,no,bad,04/1995,no
Louisiana,'(-0.01, 0.01]','(12.0, 24.0]','critical/other existing credit',education,'(1000.0, 2500.0]','[0.0, 0.01)',1<=X<4,4,?,none,2,'real estate','(20.0, 30.0]',none,own,2,skilled,1,?,yes,good,04/1995,yes
Louisiana,'(100.0, 500.0]','(48.0, 60.0]','existing paid','new car','(5000.0, 7500.0]','[100.0, 500.0)',<1,4,?,none,2,?,'(20.0, 30.0]',none,own,1,'high qualif/self emp/mgmt',1,none,no,good,04/1995,no
Louisiana,'(-0.01, 0.01]','(36.0, 48.0]','critical/other existing credit','used car','(10000.0, 12500.0]','[0.0, 0.01)',1<=X<4,2,'female div/dep/mar',none,4,car,'(20.0, 30.0]',bank,rent,?,'unskilled resident',1,none,yes,good,04/1995,yes
Massachusetts,'(-1000.0, -500.0]','(12.0, 24.0]','no credits/all paid',furniture/equipment,'(2500.0, 5000.0]','[50.0, 100.0)',?,3,'male single',none,?,'no known property',?,bank,?,2,skilled,2,none,no,bad,04/1995,no
Maryland,'(-2500.0, -1000.0]','(0.0, 12.0]','critical/other existing credit',furniture/equipment,'(2500.0, 5000.0]','[50.0, 100.0)',1<=X<4,1,'male div/sep',none,4,'real estate','(40.0, 50.0]',none,rent,1,'high qualif/self emp/mgmt',1,?,yes,bad,04/1995,yes
Maryland,'(100.0, 500.0]','(12.0, 24.0]','existing paid',radio/tv,'(1000.0, 2500.0]','[50.0, 100.0)',<1,2,'female div/dep/mar',guarantor,4,'life insurance','(20.0, 30.0]',none,own,1,'unskilled resident',1,none,yes,good,04/1995,yes
Michigan,'(-7500.0, -5000.0]','(12.0, 24.0]','existing paid','domestic appliance',?,'[0.0, 0.01)',1<=X<4,4,'female div/dep/mar',none,2,car,'(20.0, 30.0]',?,rent,1,skilled,1,none,no,bad,04/1995,no
Michigan,'(-7500.0, -5000.0]','(12.0, 24.0]','existing paid',furniture/equipment,'(2500.0, 5000.0]','[50.0, 100.0)',1<=X<4,4,'male single',?,?,'life insurance','(20.0, 30.0]',?,own,1,skilled,1,none,no,good,04/1995,no
Missouri,'(100.0, 500.0]','(0.0, 12.0]','existing paid',furniture/equipment,?,'[50.0, 100.0)',1<=X<4,4,'male div/sep',none,2,car,'(30.0, 40.0]',?,own,1,'unskilled resident',1,none,yes,good,04/1995,yes
Missouri,'(100.0, 500.0]','(12.0, 24.0]','critical/other existing credit',education,'(5000.0, 7500.0]','[20.0, 50.0)',<1,2,'female div/dep/mar',none,4,'no known property',?,none,'for free',2,skilled,1,yes,yes,bad,04/1995,yes
Missouri,'(-7500.0, -5000.0]','(12.0, 24.0]','existing paid',furniture/equipment,?,'[50.0, 100.0)',4<=X<7,1,'female div/dep/mar',none,4,car,?,none,rent,1,'unskilled resident',1,none,no,good,04/1995,no
Mississippi,'(100.0, 500.0]','(12.0, 24.0]','existing paid',radio/tv,'(2500.0, 5000.0]','[0.0, 0.01)',<1,1,'male mar/wid',none,3,'real estate','(20.0, 30.0]',none,rent,1,skilled,?,none,no,good,04/1995,no
Mississippi,'(100.0, 500.0]','(12.0, 24.0]','existing paid',?,'(2500.0, 5000.0]','[50.0, 100.0)',>=7,1,'male single','co applicant',1,'real estate','(30.0, 40.0]',bank,own,1,'high qualif/self emp/mgmt',1,yes,yes,good,04/1995,yes
'North Carolina','(2500.0, 5000.0]','(0.0, 12.0]','existing paid','new car','(2500.0, 5000.0]','[0.01, 20.0)',<1,1,'male single',?,?,'life insurance','(30.0, 40.0]',none,own,1,?,2,none,no,good,04/1995,no
'North Carolina','(-0.01, 0.01]','(12.0, 24.0]','critical/other existing credit',radio/tv,'(1000.0, 2500.0]','[0.0, 0.01)',1<=X<4,4,'female div/dep/mar',none,2,car,'(40.0, 50.0]',none,own,1,'unskilled resident',1,none,yes,good,04/1995,yes
'North Carolina','(100.0, 500.0]',?,'critical/other existing credit',radio/tv,'(500.0, 1000.0]','[0.0, 0.01)',<1,4,'male single',?,4,'real estate','(20.0, 30.0]',none,own,2,skilled,?,none,yes,bad,04/1995,yes
'New Hampshire','(100.0, 500.0]','(12.0, 24.0]','existing paid',radio/tv,'(2500.0, 5000.0]','[500.0, 1000.0)',unemployed,1,'female div/dep/mar',none,?,'no known property','(20.0, 30.0]',none,rent,1,'unemp/unskilled non res',1,none,no,bad,04/1995,no
'New Jersey','(-0.01, 0.01]','(0.0, 12.0]','delayed previously',business,'(1000.0, 2500.0]','[0.0, 0.01)',1<=X<4,?,'male single',none,2,'real estate','(30.0, 40.0]',none,?,2,'unskilled resident',?,none,yes,good,04/1995,yes
'New Jersey','(50.0, 100.0]','(0.0, 12.0]','critical/other existing credit',education,'(1000.0, 2500.0]','[0.0, 0.01)',>=7,4,'male single',none,3,?,'(30.0, 40.0]',none,'for free',?,?,2,?,no,good,04/1995,no
'New Jersey','(-0.01, 0.01]','(0.0, 12.0]','existing paid','domestic appliance','(1000.0, 2500.0]','[0.0, 0.01)',<1,1,'female div/dep/mar',none,4,'real estate','(20.0, 30.0]',none,rent,1,skilled,1,yes,yes,bad,04/1995,yes
'New Jersey','(0.01, 20.0]','(0.0, 12.0]','existing paid',furniture/equipment,?,'[50.0, 100.0)',1<=X<4,1,'female div/dep/mar',none,?,?,'(20.0, 30.0]',none,own,1,skilled,1,none,yes,bad,04/1995,yes
'New Jersey','(-0.01, 0.01]','(12.0, 24.0]','critical/other existing credit','used car','(2500.0, 5000.0]','[0.0, 0.01)',unemployed,2,'male single',none,?,'no known property','(30.0, 40.0]',none,?,1,'high qualif/self emp/mgmt',1,yes,yes,good,04/1995,yes
'New Mexico','(-7500.0, -5000.0]','(0.0, 12.0]','no credits/all paid',radio/tv,?,'[50.0, 100.0)',1<=X<4,4,'male single',none,2,?,'(20.0, 30.0]',none,rent,?,skilled,1,yes,no,good,04/1995,no
Nevada,'(-0.01, 0.01]','(0.0, 12.0]','existing paid',education,'(500.0, 1000.0]','[0.0, 0.01)',>=7,4,'male single',none,4,'no known property',?,none,'for free',1,skilled,1,yes,yes,good,04/1995,yes
Nevada,'(-0.01, 0.01]','(12.0, 24.0]','existing paid','new car','(1000.0, 2500.0]','[0.0, 0.01)',<1,4,'male single',none,2,'real estate','(20.0, 30.0]',stores,own,1,'unskilled resident',1,none,yes,good,04/1995,yes
'New York','(-0.01, 0.01]','(0.0, 12.0]','critical/other existing credit',radio/tv,'(1000.0, 2500.0]','[0.0, 0.01)',>=7,1,'male single',?,4,'real estate','(40.0, 50.0]',none,own,1,skilled,1,yes,no,good,05/1995,no
'New York','(-0.01, 0.01]','(24.0, 36.0]','delayed previously',radio/tv,?,'[0.0, 0.01)',1<=X<4,4,'male single',none,2,?,?,none,own,2,'high qualif/self emp/mgmt',1,yes,no,good,05/1995,no
'New York','(-0.01, 0.01]','(0.0, 12.0]','existing paid',radio/tv,'(500.0, 1000.0]','[0.0, 0.01)',1<=X<4,4,'male mar/wid',none,2,'real estate','(20.0, 30.0]',none,?,1,skilled,1,none,no,bad,05/1995,no
'New York','(-5000.0, -2500.0]','(24.0, 36.0]','existing paid',furniture/equipment,'(1000.0, 2500.0]','[20.0, 50.0)',?,4,'female div/dep/mar',none,4,'real estate','(20.0, 30.0]',none,?,1,skilled,1,none,no,good,05/1995,no
'New York','(50.0, 100.0]','(12.0, 24.0]','existing paid',education,'(1000.0, 2500.0]','[0.0, 0.01)',1<=X<4,4,'male single',none,4,'no known property','(60.0, 70.0]',?,?,1,skilled,1,?,no,bad,05/1995,no
'New York','(-0.01, 0.01]','(0.0, 12.0]','existing paid',radio/tv,'(2500.0, 5000.0]','[0.0, 0.01)',?,2,'male single',none,3,?,'(30.0, 40.0]',none,own,1,'high qualif/self emp/mgmt',1,none,yes,good,05/1995,yes
Ohio,'(7500.0, 10000.0]','(0.0, 12.0]',?,'new car','(1000.0, 2500.0]','[0.01, 20.0)',1<=X<4,2,'female div/dep/mar',none,2,car,'(30.0, 40.0]',stores,own,2,skilled,1,?,no,bad,05/1995,no
Ohio,'(-0.01, 0.01]','(0.0, 12.0]','existing paid',furniture/equipment,'(1000.0, 2500.0]','[0.0, 0.01)',1<=X<4,?,'male mar/wid',?,2,'life insurance','(20.0, 30.0]',none,rent,?,skilled,1,none,yes,good,05/1995,yes
Ohio,'(-5000.0, -2500.0]','(12.0, 24.0]','existing paid',furniture/equipment,'(1000.0, 2500.0]','[0.0, 0.01)',unemployed,4,'male single',none,?,car,'(20.0, 30.0]',none,?,1,'unemp/unskilled non res',1,none,yes,good,05/1995,yes
