,state,checking_amt,duration,credit_history,purpose,credit_amount,savings,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class,application_date,works_outside_US
144,West Virginia,0.0,21.0,'critical/other existing credit',furniture/equipment,2288.0,0.0,<1,4.0,'female div/dep/mar',none,4.0,'life insurance',23.0,none,own,1.0,skilled,1.0,yes,no,good,09/1994,no
145,West Virginia,46.06,48.0,'all paid',,3566.0,240.61,4<=X<7,,'male single',none,2.0,car,30.0,none,,1.0,skilled,1.0,none,yes,bad,09/1994,yes
146,Wyoming,-9858.79,6.0,'critical/other existing credit','new car',860.0,6.1,>=7,1.0,'female div/dep/mar',,4.0,'no known property',39.0,none,own,2.0,,1.0,yes,yes,good,10/1994,yes
147,Alaska,0.0,12.0,'critical/other existing credit','new car',682.0,0.0,4<=X<7,4.0,'female div/dep/mar',none,3.0,car,51.0,none,own,2.0,skilled,1.0,yes,no,good,10/1994,no
148,Arkansas,0.0,36.0,'critical/other existing credit',furniture/equipment,5371.0,0.0,1<=X<4,3.0,'male single',,2.0,'life insurance',28.0,none,own,2.0,skilled,1.0,,no,good,10/1994,no
149,Arizona,0.0,18.0,,radio/tv,1582.0,0.0,>=7,4.0,,none,4.0,car,46.0,none,own,,skilled,1.0,,yes,bad,10/1994,yes
150,Arizona,0.0,6.0,'existing paid',,1346.0,0.0,>=7,2.0,'male single',,4.0,'no known property',42.0,bank,,1.0,skilled,2.0,yes,no,good,10/1994,no
151,Arizona,0.0,,'existing paid',radio/tv,1924.0,0.0,1<=X<4,1.0,'male single',none,4.0,'life insurance',38.0,none,own,1.0,skilled,1.0,yes,no,bad,10/1994,no
152,California,0.0,36.0,'existing paid',radio/tv,5848.0,0.0,1<=X<4,4.0,'male single',none,1.0,car,24.0,none,own,1.0,skilled,1.0,,no,bad,10/1994,no
153,California,139.47,24.0,'critical/other existing credit','used car',7758.0,7369.04,>=7,2.0,'female div/dep/mar',,4.0,'no known property',29.0,none,rent,1.0,skilled,1.0,none,yes,bad,10/1994,yes
154,California,190.98,24.0,'delayed previously',business,6967.0,438.53,4<=X<7,4.0,'male single',none,4.0,car,36.0,none,rent,1.0,'high qualif/self emp/mgmt',1.0,,yes,bad,10/1994,yes
155,California,-5781.67,12.0,'existing paid',furniture/equipment,1282.0,59.7,1<=X<4,2.0,'female div/dep/mar',none,4.0,,20.0,none,rent,1.0,skilled,1.0,none,no,good,10/1994,no
156,California,-2884.07,9.0,'critical/other existing credit',repairs,,100.46,>=7,3.0,'male single',guarantor,4.0,'real estate',48.0,none,own,2.0,skilled,2.0,none,yes,bad,10/1994,yes
157,California,-7930.96,12.0,'all paid',retraining,339.0,22.56,,4.0,'male mar/wid',none,1.0,car,45.0,bank,own,1.0,'unskilled resident',1.0,none,no,good,10/1994,no
158,California,144.52,,'existing paid','new car',3512.0,345.1,4<=X<7,2.0,,none,3.0,car,38.0,bank,own,2.0,skilled,1.0,yes,no,good,10/1994,no
159,California,0.0,6.0,'critical/other existing credit',radio/tv,1898.0,0.0,1<=X<4,1.0,'male single',none,2.0,'real estate',34.0,none,own,2.0,'unskilled resident',,none,no,good,10/1994,no
160,California,0.0,24.0,,radio/tv,2872.0,0.0,>=7,,,,,'real estate',,none,own,1.0,skilled,2.0,,no,good,10/1994,no
161,California,0.0,18.0,'critical/other existing credit','new car',1055.0,0.0,<1,4.0,'female div/dep/mar',none,1.0,'life insurance',30.0,none,own,2.0,skilled,1.0,,no,good,10/1994,no
162,California,0.0,,'existing paid','domestic appliance',1262.0,0.0,4<=X<7,4.0,'male single',none,3.0,'life insurance',,none,own,2.0,skilled,1.0,yes,no,good,10/1994,no
163,California,31.09,10.0,'existing paid','new car',7308.0,52.29,unemployed,2.0,'male single',none,4.0,'no known property',70.0,bank,'for free',1.0,'high qualif/self emp/mgmt',1.0,yes,no,bad,10/1994,no
164,California,0.0,36.0,'existing paid','new car',909.0,0.0,>=7,4.0,,none,4.0,'life insurance',36.0,none,own,1.0,skilled,1.0,,no,good,10/1994,no
165,California,0.0,6.0,'existing paid',furniture/equipment,2978.0,0.0,1<=X<4,1.0,'male single',none,2.0,car,32.0,none,own,1.0,skilled,,yes,no,bad,10/1994,no
166,California,-3326.98,18.0,'existing paid',furniture/equipment,1131.0,33.43,unemployed,4.0,'female div/dep/mar',none,,car,33.0,none,own,1.0,skilled,1.0,none,no,good,10/1994,no
167,California,47.93,11.0,'existing paid',furniture/equipment,1577.0,7895.35,<1,4.0,'female div/dep/mar',none,1.0,'real estate',20.0,none,own,1.0,skilled,1.0,none,yes,bad,10/1994,yes
168,California,0.0,24.0,'existing paid',furniture/equipment,3972.0,0.0,4<=X<7,2.0,,none,4.0,'life insurance',25.0,none,rent,,skilled,1.0,yes,no,good,10/1994,no
169,California,58.87,24.0,'critical/other existing credit',business,1935.0,60.0,>=7,4.0,'male div/sep',none,4.0,'real estate',31.0,none,,2.0,skilled,1.0,yes,yes,good,10/1994,yes
170,California,-5652.0,15.0,'no credits/all paid','new car',950.0,62.41,>=7,4.0,'male single',none,,car,33.0,none,rent,2.0,skilled,2.0,none,yes,bad,10/1994,yes
171,California,0.0,12.0,'existing paid',furniture/equipment,763.0,0.0,1<=X<4,4.0,'female div/dep/mar',none,1.0,'real estate',,,own,1.0,skilled,1.0,yes,yes,bad,10/1994,yes
172,California,64.0,24.0,'delayed previously',furniture/equipment,2064.0,54.99,unemployed,3.0,'female div/dep/mar',none,,'life insurance',34.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,good,10/1994,yes
173,California,84.67,8.0,'existing paid',radio/tv,1414.0,58.58,1<=X<4,4.0,'male single',guarantor,2.0,'real estate',33.0,none,own,1.0,skilled,1.0,,yes,good,10/1994,yes
174,California,-4199.42,21.0,'delayed previously',education,3414.0,56.73,<1,2.0,'male single',none,,'life insurance',26.0,none,own,2.0,skilled,1.0,none,yes,good,10/1994,yes
175,California,0.0,30.0,'all paid','used car',,0.0,,4.0,'female div/dep/mar',none,1.0,'real estate',53.0,bank,own,1.0,,1.0,yes,yes,bad,10/1994,yes
176,California,-7153.11,12.0,'existing paid',furniture/equipment,2577.0,26.63,1<=X<4,2.0,,none,1.0,car,,none,own,1.0,skilled,,none,yes,good,10/1994,yes
177,California,-3587.09,6.0,'critical/other existing credit',radio/tv,338.0,840.74,>=7,4.0,'male single',none,4.0,,52.0,none,own,2.0,skilled,1.0,,yes,bad,11/1994,yes
178,California,0.0,12.0,'existing paid',radio/tv,1963.0,0.0,4<=X<7,4.0,'male single',,2.0,,31.0,none,,2.0,'high qualif/self emp/mgmt',2.0,yes,yes,bad,11/1994,yes
179,Colorado,0.0,21.0,'critical/other existing credit',,571.0,0.0,>=7,,'male single',none,4.0,'real estate',65.0,none,own,,skilled,1.0,none,yes,good,11/1994,yes
180,Colorado,0.0,36.0,'delayed previously',,9572.0,0.0,<1,1.0,'male div/sep',none,1.0,car,28.0,none,own,2.0,skilled,1.0,none,no,good,11/1994,no
181,Connecticut,55.91,36.0,'delayed previously',,4455.0,21.64,1<=X<4,,'male div/sep',,2.0,'real estate',30.0,stores,own,2.0,'high qualif/self emp/mgmt',1.0,yes,yes,good,11/1994,yes
182,District of Columbia,-4718.69,21.0,'all paid',,1647.0,0.0,1<=X<4,4.0,'male single',none,2.0,'life insurance',40.0,none,,2.0,'unskilled resident',2.0,none,no,bad,11/1994,no
183,Delaware,0.0,24.0,'critical/other existing credit',furniture/equipment,3777.0,0.0,1<=X<4,4.0,'male single',none,4.0,'real estate',50.0,none,own,1.0,skilled,1.0,yes,yes,bad,11/1994,yes
184,Georgia,190.69,18.0,'critical/other existing credit','new car',884.0,90.53,>=7,4.0,'male single',none,4.0,car,36.0,bank,own,1.0,skilled,2.0,yes,yes,good,11/1994,yes
185,Georgia,0.0,15.0,,radio/tv,1360.0,0.0,1<=X<4,4.0,,none,2.0,'life insurance',31.0,none,own,2.0,skilled,1.0,none,yes,bad,11/1994,yes
186,Georgia,0.0,9.0,'all paid',,5129.0,0.0,>=7,2.0,'female div/dep/mar',none,,,,bank,'for free',1.0,'high qualif/self emp/mgmt',,yes,no,good,11/1994,no
187,Georgia,18.61,16.0,'critical/other existing credit','new car',1175.0,95.88,unemployed,2.0,'male single',,3.0,car,68.0,none,'for free',3.0,'unemp/unskilled non res',1.0,yes,no,bad,11/1994,no
188,Georgia,-8569.38,12.0,'existing paid',radio/tv,674.0,319.57,4<=X<7,4.0,'male mar/wid',none,,,20.0,none,own,1.0,skilled,1.0,,yes,good,11/1994,yes
189,Georgia,122.36,18.0,'no credits/all paid',furniture/equipment,3244.0,86.38,1<=X<4,1.0,'female div/dep/mar',none,,car,33.0,bank,own,2.0,skilled,1.0,yes,yes,bad,11/1994,yes
190,Georgia,0.0,24.0,'existing paid',business,4591.0,0.0,1<=X<4,2.0,'male single',none,3.0,,54.0,none,own,3.0,,,yes,yes,bad,11/1994,yes
191,Georgia,5.06,48.0,'no credits/all paid',business,3844.0,0.0,4<=X<7,4.0,'male single',none,4.0,'no known property',34.0,none,,1.0,'unskilled resident',2.0,none,yes,good,11/1994,yes
192,Georgia,2.66,27.0,'existing paid',business,3915.0,90.63,1<=X<4,4.0,'male single',none,2.0,,36.0,none,own,1.0,skilled,2.0,yes,yes,good,11/1994,yes
193,Georgia,0.0,6.0,'existing paid',radio/tv,2108.0,0.0,4<=X<7,2.0,'male mar/wid',none,2.0,'real estate',29.0,none,,1.0,skilled,1.0,none,yes,bad,11/1994,yes
194,Hawaii,0.0,45.0,'existing paid',radio/tv,3031.0,0.0,1<=X<4,,'male single',guarantor,4.0,'life insurance',21.0,none,rent,1.0,skilled,1.0,none,yes,bad,11/1994,yes
195,Illinois,0.0,,'critical/other existing credit',education,1501.0,0.0,>=7,2.0,'female div/dep/mar',none,3.0,car,34.0,none,own,2.0,'high qualif/self emp/mgmt',1.0,yes,yes,good,11/1994,yes
196,Indiana,0.0,6.0,'critical/other existing credit',radio/tv,1382.0,0.0,1<=X<4,1.0,'female div/dep/mar',none,1.0,car,28.0,none,own,2.0,skilled,1.0,yes,yes,bad,11/1994,yes
197,Indiana,41.55,,'existing paid',furniture/equipment,951.0,145.16,<1,4.0,'female div/dep/mar',none,4.0,car,27.0,bank,rent,4.0,skilled,1.0,,yes,good,11/1994,yes
198,Kentucky,73.46,24.0,'existing paid','used car',2760.0,0.0,>=7,4.0,'male single',none,4.0,'no known property',36.0,bank,'for free',1.0,skilled,1.0,yes,no,bad,11/1994,no
199,Kentucky,5.45,18.0,'delayed previously',,4297.0,38.61,>=7,4.0,'male div/sep',none,3.0,,40.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,no,good,11/1994,no
200,Kentucky,0.0,9.0,'critical/other existing credit',,936.0,0.0,>=7,,'male single',none,2.0,car,,none,own,2.0,skilled,1.0,yes,yes,bad,11/1994,yes
201,Louisiana,-1525.5,12.0,'existing paid',,1168.0,72.61,1<=X<4,4.0,'male mar/wid',none,3.0,,27.0,none,own,1.0,'unskilled resident',1.0,none,yes,bad,11/1994,yes
202,Louisiana,0.0,27.0,'delayed previously',business,5117.0,0.0,4<=X<7,3.0,'male single',none,4.0,car,,none,own,2.0,skilled,,none,yes,bad,11/1994,yes
203,Louisiana,-4203.08,12.0,'existing paid',retraining,902.0,72.58,4<=X<7,4.0,'male mar/wid',,4.0,'life insurance',21.0,none,rent,1.0,skilled,1.0,none,no,bad,11/1994,no
204,Louisiana,0.0,12.0,'critical/other existing credit','new car',1495.0,0.0,>=7,,'male single',none,1.0,,38.0,none,own,,'unskilled resident',2.0,none,no,bad,11/1994,no
205,Massachusetts,-497.79,30.0,'critical/other existing credit',,10623.0,10.76,>=7,3.0,'male single',none,4.0,'no known property',38.0,none,'for free',3.0,,2.0,yes,no,good,11/1994,no
206,Massachusetts,0.0,12.0,'critical/other existing credit',furniture/equipment,1935.0,0.0,>=7,4.0,'male single',none,4.0,'real estate',43.0,none,,3.0,,1.0,yes,no,bad,11/1994,no
207,Maryland,93.51,12.0,'critical/other existing credit','domestic appliance',1424.0,69.55,4<=X<7,,'male single',none,3.0,'life insurance',26.0,none,own,1.0,,1.0,none,no,bad,12/1994,no
208,Maryland,-1515.21,24.0,'existing paid',business,6568.0,9.01,1<=X<4,2.0,,none,2.0,car,21.0,stores,own,1.0,'unskilled resident',1.0,none,yes,good,12/1994,yes
209,Maryland,0.0,12.0,'existing paid','used car',1413.0,0.0,4<=X<7,3.0,'male single',,2.0,'life insurance',55.0,none,own,,skilled,,,no,good,12/1994,no
210,Michigan,0.0,9.0,'critical/other existing credit',radio/tv,3074.0,0.0,,1.0,,none,2.0,'real estate',33.0,none,,2.0,skilled,2.0,none,no,bad,12/1994,no
211,Michigan,0.0,36.0,'existing paid',radio/tv,3835.0,0.0,>=7,2.0,'female div/dep/mar',none,4.0,'real estate',45.0,none,own,1.0,'unskilled resident',1.0,yes,yes,bad,12/1994,yes
212,Michigan,-2297.6,27.0,'no credits/all paid',business,5293.0,25.73,unemployed,2.0,'male single',none,,,,stores,,2.0,skilled,1.0,yes,no,good,12/1994,no
213,Michigan,7044.86,30.0,'delayed previously',business,1908.0,57.07,>=7,4.0,'male single',none,4.0,'real estate',66.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,no,bad,12/1994,no
214,Missouri,0.0,36.0,,radio/tv,3342.0,0.0,>=7,4.0,,none,,car,,none,own,,skilled,1.0,yes,yes,good,12/1994,yes
215,Missouri,119.36,6.0,'critical/other existing credit',,932.0,0.0,,1.0,'female div/dep/mar',none,3.0,'life insurance',39.0,none,own,2.0,'unskilled resident',1.0,none,no,good,12/1994,no
216,Missouri,0.0,18.0,'no credits/all paid',business,3104.0,0.0,4<=X<7,,'male single',none,1.0,'life insurance',,bank,own,1.0,skilled,1.0,yes,no,good,12/1994,no
217,Missouri,8427.47,36.0,'existing paid',radio/tv,3913.0,94.68,1<=X<4,2.0,'male single',,,'real estate',23.0,none,own,1.0,skilled,1.0,yes,no,bad,12/1994,no
218,Missouri,-5135.08,24.0,'existing paid',furniture/equipment,3021.0,0.0,1<=X<4,2.0,'male div/sep',none,2.0,'real estate',24.0,none,rent,1.0,'unskilled resident',1.0,none,no,good,12/1994,no
219,Missouri,0.0,10.0,'existing paid','new car',1364.0,0.0,1<=X<4,2.0,'female div/dep/mar',none,4.0,,64.0,,own,1.0,skilled,1.0,yes,yes,bad,12/1994,yes
220,Missouri,41.29,12.0,'existing paid',,625.0,27.59,<1,4.0,'male mar/wid',guarantor,1.0,'real estate',26.0,bank,own,1.0,'unskilled resident',1.0,none,yes,bad,12/1994,yes
221,Mississippi,-2287.81,12.0,,education,1200.0,0.0,1<=X<4,4.0,'female div/dep/mar',none,4.0,,23.0,bank,rent,,skilled,1.0,yes,yes,good,12/1994,yes
222,Mississippi,0.0,12.0,'existing paid',,707.0,0.0,1<=X<4,4.0,'male single',none,2.0,'real estate',30.0,bank,own,2.0,skilled,1.0,none,yes,good,12/1994,yes
223,North Carolina,0.0,24.0,'delayed previously',,2978.0,0.0,1<=X<4,4.0,'male single',none,4.0,'real estate',32.0,none,own,2.0,,2.0,yes,yes,good,12/1994,yes
224,North Carolina,0.0,15.0,'existing paid','used car',4657.0,0.0,1<=X<4,3.0,'male single',none,2.0,car,30.0,,own,1.0,skilled,1.0,,yes,good,12/1994,yes
225,North Carolina,0.0,36.0,'no credits/all paid',repairs,2613.0,0.0,1<=X<4,4.0,'male single',,2.0,car,27.0,none,own,,skilled,1.0,none,no,bad,12/1994,no
226,North Carolina,149.22,,'existing paid',radio/tv,10961.0,2648.91,4<=X<7,1.0,'male single','co applicant',2.0,'no known property',27.0,bank,own,2.0,skilled,1.0,yes,no,bad,12/1994,no
227,North Carolina,-4808.4,12.0,'existing paid',furniture/equipment,7865.0,0.0,>=7,,'male single',none,,'no known property',53.0,none,,1.0,'high qualif/self emp/mgmt',1.0,yes,no,good,12/1994,no
228,New Hampshire,0.0,9.0,'existing paid',radio/tv,1478.0,0.0,4<=X<7,4.0,'male single',none,2.0,car,22.0,none,own,1.0,skilled,,none,no,bad,12/1994,no
229,New Jersey,0.0,24.0,'existing paid',furniture/equipment,3149.0,0.0,<1,4.0,'male single',none,1.0,'no known property',22.0,bank,'for free',1.0,skilled,1.0,none,no,bad,12/1994,no
230,New Jersey,7308.81,36.0,'existing paid',,4210.0,7.28,1<=X<4,4.0,'male single',none,2.0,car,26.0,,own,1.0,skilled,1.0,none,no,good,12/1994,no
231,New Jersey,0.0,9.0,'existing paid','new car',2507.0,0.0,,2.0,'male single',,4.0,'no known property',51.0,none,'for free',,'unskilled resident',1.0,,no,good,12/1994,no
232,New Jersey,0.0,12.0,,radio/tv,2141.0,0.0,4<=X<7,3.0,'male single',none,1.0,'no known property',35.0,none,own,1.0,skilled,1.0,none,no,bad,12/1994,no
233,New Jersey,154.16,18.0,,radio/tv,866.0,86.28,1<=X<4,4.0,'male mar/wid',guarantor,2.0,'real estate',25.0,none,own,1.0,'unskilled resident',,none,no,good,12/1994,no
234,New Jersey,0.0,4.0,'critical/other existing credit',radio/tv,1544.0,0.0,4<=X<7,2.0,'male single',none,1.0,'real estate',42.0,none,own,3.0,'unskilled resident',2.0,none,yes,bad,12/1994,yes
235,New Jersey,-9256.59,24.0,'existing paid',radio/tv,1823.0,53.53,unemployed,4.0,'male single',none,2.0,car,30.0,stores,,1.0,'high qualif/self emp/mgmt',2.0,none,yes,good,12/1994,yes
236,New Jersey,69.73,6.0,'existing paid','new car',14555.0,0.0,unemployed,1.0,'male single',none,2.0,'life insurance',23.0,none,own,1.0,'unemp/unskilled non res',1.0,yes,no,bad,12/1994,no
237,New Mexico,57.58,21.0,'existing paid',business,2767.0,0.0,>=7,4.0,,none,2.0,car,61.0,bank,rent,,'unskilled resident',1.0,none,no,bad,12/1994,no
238,New Mexico,0.0,12.0,'critical/other existing credit',,1291.0,0.0,1<=X<4,4.0,'female div/dep/mar',none,2.0,'life insurance',,none,own,2.0,,1.0,none,yes,good,01/1995,yes
239,New Mexico,-4641.13,30.0,'existing paid',,2522.0,71.17,>=7,1.0,'male single',,3.0,'life insurance',39.0,none,own,1.0,skilled,2.0,none,no,good,01/1995,no
240,Nevada,-4772.2,24.0,'existing paid','new car',915.0,0.0,>=7,4.0,,none,2.0,car,,bank,own,,skilled,1.0,none,no,good,01/1995,no
241,New York,0.0,6.0,'existing paid',radio/tv,1595.0,0.0,4<=X<7,3.0,,none,2.0,,51.0,none,own,1.0,skilled,2.0,none,no,bad,01/1995,no
242,New York,-6913.58,48.0,'no credits/all paid','used car',4605.0,82.93,>=7,3.0,'male single',none,4.0,,24.0,none,'for free',2.0,skilled,,none,yes,good,01/1995,yes
243,New York,0.0,12.0,'critical/other existing credit',business,1185.0,0.0,1<=X<4,3.0,'female div/dep/mar',none,2.0,,27.0,none,own,2.0,skilled,1.0,none,yes,good,01/1995,yes
244,New York,0.0,12.0,'all paid',retraining,3447.0,0.0,1<=X<4,4.0,'female div/dep/mar',none,3.0,'real estate',35.0,none,own,1.0,'unskilled resident',2.0,none,no,bad,01/1995,no
245,New York,0.0,24.0,'existing paid',business,1258.0,0.0,4<=X<7,4.0,'male single',none,1.0,'real estate',25.0,none,own,1.0,skilled,1.0,yes,no,bad,01/1995,no
246,Ohio,0.0,12.0,'critical/other existing credit',radio/tv,717.0,0.0,>=7,4.0,'male single',none,4.0,'real estate',52.0,none,,3.0,,1.0,none,yes,bad,01/1995,yes
247,Ohio,0.0,6.0,'no credits/all paid','new car',1204.0,0.0,1<=X<4,,'male single',none,1.0,'no known property',35.0,bank,rent,1.0,skilled,1.0,none,no,good,01/1995,no
248,Ohio,4844.17,24.0,'existing paid',,1925.0,84.16,1<=X<4,2.0,'male single',none,2.0,'real estate',26.0,none,own,1.0,skilled,1.0,none,yes,good,01/1995,yes
249,Ohio,0.0,18.0,'existing paid',radio/tv,433.0,0.0,unemployed,3.0,'female div/dep/mar','co applicant',4.0,'real estate',22.0,none,rent,1.0,skilled,1.0,none,yes,good,01/1995,yes
250,Ohio,-350.28,6.0,'critical/other existing credit','new car',666.0,2438.92,4<=X<7,3.0,'female div/dep/mar',none,,'real estate',39.0,none,own,2.0,'unskilled resident',1.0,yes,yes,good,01/1995,yes
251,Ohio,2323.65,12.0,'existing paid',furniture/equipment,2251.0,9.33,1<=X<4,1.0,'female div/dep/mar',none,2.0,car,46.0,none,own,,'unskilled resident',1.0,none,no,good,01/1995,no
252,Ohio,84.68,30.0,'existing paid','new car',2150.0,47.59,1<=X<4,4.0,'female div/dep/mar',guarantor,2.0,'no known property',24.0,bank,own,,,1.0,none,yes,bad,01/1995,yes
253,Ohio,0.0,24.0,'delayed previously',furniture/equipment,4151.0,0.0,1<=X<4,2.0,'male single',none,3.0,'life insurance',35.0,none,own,,skilled,1.0,none,yes,bad,01/1995,yes
254,Ohio,39.8,9.0,'existing paid',furniture/equipment,2030.0,0.0,4<=X<7,2.0,'male single',,1.0,car,24.0,none,,1.0,skilled,1.0,yes,no,good,01/1995,no
255,Ohio,49.03,,'delayed previously',radio/tv,7418.0,0.0,1<=X<4,1.0,'male single',none,1.0,'real estate',27.0,none,own,1.0,'unskilled resident',1.0,none,yes,bad,01/1995,yes
256,Oregon,0.0,24.0,'critical/other existing credit',,2684.0,0.0,1<=X<4,,'male single',none,2.0,'real estate',35.0,none,own,2.0,'unskilled resident',1.0,none,no,good,01/1995,no
257,Pennsylvania,-255.77,12.0,'all paid',radio/tv,2149.0,14.98,1<=X<4,4.0,,none,1.0,'no known property',29.0,none,'for free',1.0,,1.0,none,yes,bad,01/1995,yes
258,Pennsylvania,0.0,15.0,'existing paid','used car',3812.0,0.0,<1,1.0,'female div/dep/mar',,4.0,car,23.0,none,own,,skilled,1.0,yes,no,good,01/1995,no
259,Pennsylvania,0.0,11.0,'critical/other existing credit',radio/tv,1154.0,0.0,unemployed,,'female div/dep/mar',none,4.0,'real estate',57.0,,own,3.0,'unskilled resident',1.0,none,no,good,01/1995,no
260,Pennsylvania,-5536.22,12.0,,furniture/equipment,1657.0,45.58,1<=X<4,2.0,'male single',none,2.0,'real estate',,none,own,1.0,skilled,1.0,none,yes,good,01/1995,yes
261,Rhodes Island,-1579.52,24.0,'existing paid',radio/tv,1603.0,74.65,,4.0,,none,,car,55.0,none,own,1.0,skilled,1.0,none,yes,bad,01/1995,yes
262,South Carolina,-1502.18,18.0,'critical/other existing credit','new car',5302.0,83.75,>=7,2.0,'male single',none,4.0,'no known property',36.0,none,'for free',3.0,'high qualif/self emp/mgmt',,yes,no,good,01/1995,no
263,South Carolina,0.0,12.0,'critical/other existing credit',education,,0.0,,2.0,'female div/dep/mar',none,4.0,'no known property',57.0,bank,'for free',3.0,'unskilled resident',1.0,none,yes,good,01/1995,yes
264,South Carolina,0.0,10.0,'critical/other existing credit','new car',1231.0,0.0,>=7,3.0,'male single',none,,'real estate',32.0,none,own,2.0,'unskilled resident',2.0,none,no,bad,01/1995,no
265,South Carolina,135.62,15.0,'existing paid',radio/tv,802.0,73.76,,4.0,,none,3.0,,37.0,none,own,1.0,skilled,2.0,none,no,good,01/1995,no
266,South Carolina,0.0,36.0,'critical/other existing credit',business,6304.0,0.0,>=7,4.0,,none,4.0,'real estate',36.0,none,own,2.0,skilled,,none,no,good,01/1995,no
267,South Carolina,0.0,24.0,'existing paid',radio/tv,1533.0,0.0,<1,4.0,'female div/dep/mar',none,3.0,car,38.0,stores,own,1.0,skilled,1.0,,yes,good,01/1995,yes
268,South Carolina,-517.47,14.0,'existing paid','new car',8978.0,85.21,>=7,1.0,'male div/sep',none,4.0,'life insurance',45.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,no,bad,02/1995,no
269,South Dakota,0.0,24.0,'existing paid',radio/tv,999.0,0.0,>=7,,'male single',none,2.0,car,,none,own,2.0,skilled,1.0,none,yes,good,02/1995,yes
270,South Dakota,0.0,18.0,'existing paid','new car',2662.0,0.0,,4.0,'male single',none,,'life insurance',32.0,none,,1.0,skilled,1.0,none,yes,bad,02/1995,yes
271,South Dakota,0.0,12.0,'critical/other existing credit',furniture/equipment,,0.0,4<=X<7,3.0,'female div/dep/mar',none,4.0,car,37.0,none,rent,1.0,skilled,1.0,yes,no,bad,02/1995,no
272,Tennessee,171.45,48.0,'all paid','new car',12169.0,0.0,unemployed,4.0,'male single','co applicant',4.0,'no known property',36.0,none,'for free',1.0,'high qualif/self emp/mgmt',1.0,yes,no,good,02/1995,no
273,Tennessee,187.45,48.0,'existing paid',radio/tv,3060.0,67.23,4<=X<7,,,none,4.0,'real estate',28.0,none,,,skilled,1.0,none,yes,good,02/1995,yes
274,Tennessee,-5525.31,30.0,,repairs,11998.0,38.84,<1,,'male div/sep',none,,,34.0,none,own,1.0,'unskilled resident',1.0,yes,no,good,02/1995,no
275,Tennessee,0.0,9.0,'existing paid',radio/tv,,0.0,1<=X<4,,,none,2.0,'real estate',32.0,none,own,1.0,skilled,2.0,none,yes,good,02/1995,yes
276,Texas,0.0,18.0,'critical/other existing credit',,,0.0,,,'female div/dep/mar',none,2.0,car,26.0,none,own,2.0,skilled,1.0,none,no,good,02/1995,no
277,Texas,-6825.17,12.0,,furniture/equipment,1262.0,0.0,>=7,2.0,'male div/sep',,4.0,'life insurance',49.0,none,own,1.0,'unskilled resident',1.0,yes,no,good,02/1995,no
278,Texas,0.0,6.0,'existing paid',furniture/equipment,4611.0,0.0,<1,1.0,'female div/dep/mar',,,'life insurance',32.0,none,own,1.0,skilled,1.0,none,no,good,02/1995,no
279,Texas,0.0,24.0,,radio/tv,1901.0,0.0,1<=X<4,4.0,,,4.0,car,29.0,none,rent,1.0,'high qualif/self emp/mgmt',,yes,no,bad,02/1995,no
280,Texas,0.0,15.0,'critical/other existing credit',,,0.0,>=7,3.0,,none,4.0,'no known property',23.0,none,rent,2.0,skilled,1.0,yes,yes,good,02/1995,yes
281,Texas,0.0,12.0,'existing paid',furniture/equipment,1574.0,0.0,1<=X<4,4.0,'male single',none,2.0,'real estate',50.0,none,own,1.0,skilled,1.0,,no,bad,02/1995,no
282,Texas,0.0,18.0,'all paid',radio/tv,1445.0,0.0,4<=X<7,4.0,,none,4.0,car,,,own,1.0,'unskilled resident',1.0,none,no,good,02/1995,no
283,Texas,0.0,15.0,'critical/other existing credit',,1520.0,0.0,>=7,4.0,'male single',none,4.0,'life insurance',63.0,none,own,1.0,skilled,1.0,none,no,good,02/1995,no
284,Texas,19.48,24.0,,'new car',3878.0,384.02,<1,4.0,'male div/sep',none,2.0,car,,,,1.0,skilled,1.0,yes,yes,good,02/1995,yes
285,Texas,-5888.3,,'existing paid','new car',,58.62,<1,1.0,'female div/dep/mar',,1.0,'real estate',35.0,none,own,1.0,'unskilled resident',1.0,,no,good,02/1995,no
286,Texas,-7579.53,48.0,'existing paid','used car',,24.62,4<=X<7,4.0,'male single',none,3.0,'life insurance',26.0,none,own,1.0,skilled,2.0,,yes,bad,02/1995,yes
287,Texas,130.14,48.0,'delayed previously',other,,376.5,unemployed,2.0,'male single',none,,'no known property',31.0,none,'for free',1.0,'high qualif/self emp/mgmt',1.0,yes,no,good,02/1995,no
288,Texas,169.03,12.0,'existing paid',radio/tv,1092.0,26.55,1<=X<4,4.0,'female div/dep/mar',,4.0,'real estate',,none,own,2.0,skilled,1.0,,no,good,02/1995,no
289,Texas,-7872.78,24.0,,radio/tv,1024.0,0.0,<1,4.0,'male mar/wid',none,4.0,'real estate',48.0,stores,own,1.0,skilled,1.0,none,yes,bad,02/1995,yes
290,Texas,0.0,12.0,'existing paid',business,1076.0,0.0,1<=X<4,2.0,,none,2.0,'real estate',26.0,,own,1.0,skilled,1.0,yes,no,bad,02/1995,no
